name,구분,lat,lon
만촌역,일반역,35.8580984,128.6429934
담티역,일반역,35.8548283,128.6517483
연호역,일반역,35.8463606,128.6712747
대공원역,일반역,35.8426754,128.6797386
고산역,일반역,35.8428892,128.6928426
신매역,일반역,35.8408467,128.7045286
사월역,일반역,35.8369933,128.7134473
탑석역,일반역,37.7334668,127.0889285
지식정보단지역,일반역,37.378021,126.645412
인천대입구역,일반역,37.386239,126.639351
센트럴파크역,일반역,37.392833,126.635002
국제업무지구역,일반역,37.400464,126.630094
검단오류역,일반역,37.595162,126.629206
왕길역,일반역,37.592191,126.642284
검단사거리역,일반역,37.601693,126.656545
마전역,일반역,37.597756,126.667195
완정역,일반역,37.592867,126.672961
독정역,일반역,37.584927,126.675981
검암역,환승역,37.568611,126.671221
검바위역,일반역,37.561091,126.677529
아시아드경기장역,일반역,37.551373,126.677075
서구청역,일반역,37.543839,126.676795
가정(루원시티)역,일반역,37.524805,126.675387
가정중앙시장역,일반역,37.517511,126.676784
석남(거북시장)역,일반역,37.507211,126.676304
영대병원역,일반역,35.844269,128.586057
교대역,일반역,35.851106,128.588432
명덕역,환승역,35.8580257,128.5824361
반월당역,환승역,35.864678,128.591147
중앙로역,일반역,35.870913,128.591799
대구역,일반역,35.8763691,128.5884861
칠성시장역,일반역,35.876141,128.602971
양촌역,일반역,37.64179203,126.6146219
구래역,일반역,37.6453934,126.628576
마산역,일반역,37.64060947,126.6440072
장기역,일반역,37.64405889,126.6690798
운양역,일반역,37.65376915,126.6838479
걸포북변역,일반역,37.63164148,126.705778
사우(김포시청)역,일반역,37.62035224,126.7196954
서부여성회관역,일반역,37.500298,126.675875
인천가좌역,일반역,37.493762,126.675465
가재울역,일반역,37.484152,126.683883
주안국가산단역,일반역,37.473599,126.681702
주안역,환승역,37.465517,126.680441
시민공원역,일반역,37.458739,126.680091
석바위시장역,일반역,37.457659,126.692387
인천시청역,환승역,37.456904,126.701523
석천사거리역,일반역,37.4569323,126.710383
모래내시장역,일반역,37.455842,126.719578
만수역,일반역,37.454962,126.731764
남동구청역,일반역,37.448179,123.736581
인천대공원역,일반역,37.448475,126.753051
운연역,일반역,37.437924,126.759409
발곡역,일반역,37.7269917,127.0529098
회룡역,환승역,37.7250156,127.0471082
